dataset,batch_size,lr,maxlen,hidden_units,num_blocks,num_heads,dropout_rate,l2_emb,num_epochs,device,norm_first,patience,n_workers,seed,save_path,best_epoch,best_valid_ndcg10,valid_ndcg10,valid_recall10,valid_ndcg20,valid_recall20,test_ndcg10,test_recall10,test_ndcg20,test_recall20,usernum,itemnum,history,runtime_sec
ratings.dat,128,0.001,50,50,2,1,0.2,0.0,50,cuda,False,5,1,42,results/ablation_maxlen_50_seed42_best.pth,41,0.09657322146099909,0.09614463510026194,0.18379184620483924,0.12024195177588458,0.27958236658932717,0.09050143712021284,0.17550546900894928,0.11281992800332366,0.26400397746105403,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""train_loss"": [1.1802194321409185, 0.9405795690861154, 0.9066154589044287, 0.8862589699156741, 0.8566066026687622, 0.8200608086078724, 0.781568391525999, 0.7515221796137221, 0.724545882103291, 0.7022216675129342, 0.6826466080990243, 0.6692107421286563, 0.6509317616198925, 0.6379900841002769, 0.6226949247908085, 0.6107951618255453, 0.603289709446278, 0.5907578252731486, 0.5803894603506048, 0.5738293376374752, 0.567196842203749, 0.5597928191753144, 0.5499341919067058, 0.5476865197749848, 0.5407263230770192, 0.5324820869780601, 0.5268380172709202, 0.521339957384353, 0.5171842625800599, 0.5118524311704838, 0.5074455661976591, 0.5030219497832846, 0.4977593586799946, 0.49506095178583837, 0.49064264208712477, 0.4860402028611366, 0.4814648926258087, 0.4805556789357611, 0.4755661062737729, 0.4723029314203465, 0.4713767082133192, 0.4674053889639834, 0.4668851970358098, 0.4635293813461953, 0.458718903521274, 0.4584652908304904], ""valid_ndcg10"": [0.016696762720508764, 0.020839255053484808, 0.0203302212397773, 0.025212279858575392, 0.027602909060945903, 0.029087827538016683, 0.03445624354021546, 0.038595126026673046, 0.041708495898467667, 0.044755800947144285, 0.050237160181555454, 0.051699041855339994, 0.0553465074442209, 0.05887264853049646, 0.05852636653494213, 0.06218285123988572, 0.06488238087902738, 0.06418951823263784, 0.0673081842837886, 0.06946113101943019, 0.07190760227475458, 0.07394498000321134, 0.07673235210266796, 0.07793748865935733, 0.0784992004394945, 0.0810254051418549, 0.08121084824491458, 0.08293519769825393, 0.08397170266609777, 0.08681635397022755, 0.08793285846400928, 0.09042213939808084, 0.09103732241000427, 0.09064647533696556, 0.09191285759307061, 0.092955963965005, 0.0936973842094884, 0.09489687406213669, 0.09411718862921957, 0.09510940802195872, 0.09657322146099909, 0.09596846051018024, 0.09484702747516964, 0.09556982709971046, 0.0937468378038254, 0.09614463510026194], ""valid_recall10"": [0.03596287703016241, 0.045575074577394764, 0.04275770633079218, 0.053529996685449124, 0.054855817036791515, 0.061982101425256876, 0.07126284388465363, 0.07938349353662578, 0.08385813722240637, 0.08932714617169374, 0.10125952933377527, 0.10507126284388466, 0.11120318196884323, 0.11799801126947299, 0.11849519390122638, 0.12628438846536294, 0.13026184951939013, 0.12926748425588333, 0.1355651309247597, 0.1388796818031157, 0.14484587338415644, 0.14948624461385482, 0.14965197215777262, 0.1554524361948956, 0.154292343387471, 0.15942989724892276, 0.16158435531985416, 0.16158435531985416, 0.16738481935697713, 0.1697050049718263, 0.1731852833941001, 0.1736824660258535, 0.1736824660258535, 0.1751740139211137, 0.17915147497514086, 0.18147166058999006, 0.18329466357308585, 0.18296320848525024, 0.18329466357308585, 0.18395757374875704, 0.187272124627113, 0.18627775936360624, 0.18395757374875704, 0.18428902883659265, 0.18263175339741464, 0.18379184620483924], ""valid_ndcg20"": [0.024236952030762704, 0.028906076866532637, 0.030382458593971855, 0.0337446159274482, 0.037422777325293484, 0.03962431809152077, 0.045428624389110286, 0.05112599276023019, 0.05626462948722571, 0.06063046164882147, 0.06621998531284312, 0.0677115166370386, 0.07278658977747353, 0.07689114019681176, 0.07825295926277497, 0.08087646740439211, 0.08443377140504413, 0.0849016193722951, 0.08739610395751063, 0.08975677090771447, 0.0917584591493834, 0.0929826550978377, 0.0982159845051183, 0.09823406395815958, 0.10017912630864867, 0.10366238670066312, 0.10274271176878702, 0.10514011605472559, 0.10583109718684451, 0.10927672717683366, 0.11058024141521931, 0.1129817332734865, 0.11297062616465942, 0.11373109664201103, 0.1132478489040199, 0.11610830654351707, 0.11537013377210037, 0.11670612539390303, 0.11673125217274766, 0.11690297326983647, 0.11903245798152172, 0.11846694585942223, 0.11735855511286132, 0.11885700926436055, 0.11736640804211348, 0.12024195177588458], ""valid_recall20"": [0.06595956247928406, 0.0777262180974478, 0.08269804441498177, 0.08750414318859795, 0.09396751740139211, 0.10407689758037786, 0.1150149154789526, 0.12926748425588333, 0.14186277759363605, 0.1529665230361286, 0.16523036128604573, 0.16904209479615512, 0.18080875041431885, 0.18959231024196221, 0.19671859463042757, 0.20036460059661915, 0.20831952270467352, 0.2116340735830295, 0.2159429897248923, 0.22008617832283725, 0.22389791183294663, 0.22555518727212462, 0.23500165727543917, 0.23599602253894597, 0.24030493868080874, 0.2497514086841233, 0.2470997679814385, 0.2494199535962877, 0.25439177991382167, 0.25853496851176666, 0.2633410672853828, 0.26300961219754726, 0.26085515412661586, 0.26648989061982103, 0.26400397746105403, 0.2736161750082864, 0.2691415313225058, 0.2694729864103414, 0.2736161750082864, 0.27063307921776597, 0.27676499834272456, 0.2757706330792178, 0.2734504474643686, 0.27659927079880675, 0.27643354325488895, 0.27958236658932717]}",349.1717336177826
ratings.dat,128,0.001,50,50,2,1,0.2,0.0,50,cuda,False,5,1,43,results/ablation_maxlen_50_seed43_best.pth,46,0.09414762460449531,0.0914876241780291,0.1768312893602917,0.11638315657553751,0.27626781571097114,0.09133044570577137,0.17765992707988068,0.11494467163120949,0.2717931720251906,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""train_loss"": [1.1741059536629534, 0.9381038470471159, 0.9033813730199286, 0.8826645967808175, 0.8578008983997588, 0.8267539574744853, 0.7961469140458615, 0.7637678752554223, 0.7372928642212077, 0.7050753907954439, 0.6846929649089245, 0.6651098233588199, 0.6492862181460604, 0.6354633544353728, 0.6238579889561268, 0.6103964650884588, 0.5994869407187117, 0.5865147430846032, 0.5776737928390503, 0.5645095350894522, 0.5593931421320489, 0.5516435377141262, 0.544451967198798, 0.5369043153651217, 0.5318789532844056, 0.5270767979165341, 0.5198872152795183, 0.5162182012771038, 0.5119078558810214, 0.5051104781475473, 0.5030649234639838, 0.500083898610257, 0.49379585588232, 0.4927369432246431, 0.48979338496289354, 0.48726919673858804, 0.482521079956217, 0.47671759952890114, 0.4766409587352834, 0.47294301111647424, 0.47109559178352356, 0.46854704301407996, 0.4665368852463174, 0.4640663037908838, 0.45991389231478913, 0.4592381474819589, 0.4535785786649014, 0.4526475769408206, 0.4523539232446792, 0.45157007777944524], ""valid_ndcg10"": [0.019979435335298255, 0.022561717772923064, 0.023173485532762175, 0.021887275463621618, 0.025928714085327025, 0.028149019882499536, 0.033261640719838816, 0.03855343257357225, 0.042368994522189424, 0.046063415279423786, 0.04801262931163197, 0.05217836002727663, 0.054311096577755166, 0.056444730282950877, 0.06211184620078091, 0.06124144185528925, 0.06653907951157935, 0.06874975418684938, 0.06919174147385625, 0.07325411036612563, 0.07373992610640157, 0.07524750839379012, 0.07650339576138687, 0.07761821022068864, 0.07896380912114362, 0.08248632553263348, 0.0830904908194828, 0.08098417959712498, 0.08349616138646448, 0.08547353048765435, 0.08424550121073672, 0.08511598290277203, 0.08727408738880472, 0.08716805124585028, 0.08916868127603333, 0.08904307214591388, 0.08749369590120953, 0.08979694768505768, 0.08756248012769013, 0.08961765811592497, 0.0904074080880447, 0.09094992105393894, 0.09097103543114084, 0.09100086370341103, 0.09173616814422915, 0.09414762460449531, 0.09310778581435016, 0.09207945637849838, 0.09097746125317878, 0.0914876241780291], ""valid_recall10"": [0.04358634405038117, 0.047232350016572756, 0.04673516738481936, 0.04640371229698376, 0.05469008949287372, 0.05982764335432549, 0.06977129598939344, 0.07938349353662578, 0.08402386476632416, 0.09280742459396751, 0.0976135233675837, 0.10457408021213126, 0.10921445144182963, 0.11352336758369241, 0.12363274776267816, 0.12263838249917136, 0.1337421279416639, 0.1368909512761021, 0.13639376864434868, 0.14368578057673184, 0.14666887636725223, 0.14700033145508784, 0.14865760689426583, 0.15064633742127942, 0.1519721577726218, 0.15942989724892276, 0.16009280742459397, 0.1564468014584024, 0.16009280742459397, 0.16423599602253894, 0.16291017567119656, 0.16556181637388134, 0.16721909181305933, 0.1688763672522373, 0.1725223732184289, 0.1738481935697713, 0.17136228041100432, 0.1738481935697713, 0.1706993702353331, 0.1746768312893603, 0.17716274444812727, 0.17782565462379848, 0.17765992707988068, 0.1768312893602917, 0.17865429234338748, 0.18064302287040107, 0.17948293006297647, 0.17998011269472985, 0.1768312893602917, 0.1768312893602917], ""valid_ndcg20"": [0.027614197045494632, 0.031230578507379238, 0.03228448526608545, 0.0305896781693029, 0.03509110339548476, 0.03888859524942709, 0.04361837391555382, 0.050419208539310346, 0.05603037396489328, 0.06021648623380782, 0.06314135928607165, 0.06815020509084992, 0.0714824864947927, 0.07416668768124568, 0.07970331519266899, 0.0805938531157514, 0.08507295127864803, 0.08890286158456286, 0.09063898378380757, 0.09320790179254664, 0.09443262648743943, 0.09768678947205263, 0.09926493206907076, 0.0998078775191901, 0.10256422772607506, 0.10415748556004634, 0.10505271541525744, 0.10381261247482194, 0.10682926351226339, 0.10904650212273441, 0.10798336886271927, 0.10912900773626433, 0.11146991571586676, 0.11087165905791506, 0.11296382288162672, 0.11260685341572706, 0.11224261418097664, 0.11397877535529534, 0.1118659517426135, 0.11404829933590795, 0.11462529303311991, 0.11448878005036278, 0.11492808234561623, 0.11502852524367047, 0.11615981100435209, 0.11878417860381843, 0.11744645566181432, 0.11633698374074258, 0.11552954658309231, 0.11638315657553751], ""valid_recall20"": [0.07374875704342061, 0.08170367915147497, 0.08336095459065297, 0.08137222406363938, 0.09115014915478953, 0.10291680477295327, 0.11103745442492542, 0.12694729864103413, 0.13871395425919789, 0.14948624461385482, 0.15793834935366258, 0.1688763672522373, 0.17815710971163407, 0.18395757374875704, 0.1937354988399072, 0.19986741796486576, 0.20749088498508453, 0.21726881007623466, 0.22174345376201524, 0.22306927411335764, 0.2292011932383162, 0.23632747762678158, 0.23914484587338417, 0.23881339078554856, 0.24560822008617833, 0.24577394763009613, 0.2469340404375207, 0.2469340404375207, 0.2529002320185615, 0.25803778588001325, 0.2572091481604243, 0.2613523367583692, 0.2635067948293006, 0.2635067948293006, 0.2676499834272456, 0.2676499834272456, 0.2701358965860126, 0.2701358965860126, 0.2669870732515744, 0.2719588995691084, 0.2732847199204508, 0.271461716937355, 0.2729532648326152, 0.2721246271130262, 0.2757706330792178, 0.27875372886973815, 0.2759363606231356, 0.27659927079880675, 0.27477626781571096, 0.27626781571097114]}",377.9406111240387
ratings.dat,128,0.001,50,50,2,1,0.2,0.0,50,cuda,False,5,1,44,results/ablation_maxlen_50_seed44_best.pth,41,0.09798302581329837,0.09782707239015948,0.18975803778588002,0.1202365038094467,0.27858800132582034,0.09089751371440115,0.1728538283062645,0.11450140836533283,0.2671528007954922,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46], ""train_loss"": [1.1666590495312468, 0.9371766574839329, 0.9037385646333086, 0.8833509011471525, 0.8557269256165687, 0.8196302690404527, 0.7790507243034688, 0.7432145400250212, 0.7154278691778791, 0.6947472006716626, 0.6755188690855148, 0.659067950350173, 0.6449026338597561, 0.6359140505181983, 0.6205147910625377, 0.6084011602909007, 0.600636085297199, 0.590496060696054, 0.581412617196428, 0.5709910633716178, 0.5630842586781116, 0.5562756860509832, 0.5496828239014808, 0.5416350434435174, 0.5382307691777006, 0.5284816546643034, 0.5214188511067248, 0.5163568936763926, 0.512591947900488, 0.509035827631646, 0.500894102644413, 0.49919566765744633, 0.4957812675770293, 0.4918030177025085, 0.48670085250063144, 0.48501316854294313, 0.4798883947920292, 0.4791946658428679, 0.4737950563430786, 0.47276080796059144, 0.4707357331793359, 0.4665434309776793, 0.46295509883698, 0.4612811822840508, 0.45634974253938554, 0.4564847641802849], ""valid_ndcg10"": [0.023361389437595453, 0.02555464049925702, 0.024562069750483726, 0.024487090287378346, 0.027997767989673388, 0.03297096689795605, 0.04148343396831032, 0.04270128550467998, 0.04239994025621622, 0.04618572826453581, 0.049166325827656954, 0.05211800146917566, 0.056355752379108066, 0.05805193947140047, 0.059677659170400264, 0.062255421732355876, 0.06444251663284399, 0.06593362339224056, 0.06793200872841433, 0.06981343388370743, 0.07297034897502146, 0.07667701834638604, 0.07872543813380764, 0.07936583581628433, 0.08123067064277527, 0.08264811100614614, 0.08518043519364249, 0.08529827169765661, 0.0858115251297359, 0.08730724905999299, 0.08659275388046975, 0.08867628162895175, 0.08822658617958111, 0.08890094557961987, 0.09012882815573763, 0.090839661254225, 0.09338303687923225, 0.09373977400870231, 0.09351746440504956, 0.09522776773945217, 0.09798302581329837, 0.09724504896499273, 0.09589429600422171, 0.09729078333415213, 0.09757965964716174, 0.09782707239015948], ""valid_recall10"": [0.04540934703347697, 0.04806098773616175, 0.049552535631421944, 0.04988399071925754, 0.05601590984421611, 0.06761683791846204, 0.08286377195889957, 0.08650977792509115, 0.08849850845210475, 0.0952933377527345, 0.09910507126284389, 0.10623135565130924, 0.11302618495193902, 0.11600928074245939, 0.11849519390122638, 0.12296983758700696, 0.13026184951939013, 0.1319191249585681, 0.1353994033808419, 0.1388796818031157, 0.14302287040106065, 0.1511435200530328, 0.1529665230361286, 0.1541266158435532, 0.15777262180974477, 0.16075571760026516, 0.16622472654955253, 0.16771627444481274, 0.16771627444481274, 0.16821345707656613, 0.1698707325157441, 0.1715280079549221, 0.1720251905866755, 0.1710308253231687, 0.1740139211136891, 0.17765992707988068, 0.18014584023864766, 0.18014584023864766, 0.17815710971163407, 0.18230029830957906, 0.18660921445144182, 0.18859794497845542, 0.18611203181968844, 0.18760357971494862, 0.1902552204176334, 0.18975803778588002], ""valid_ndcg20"": [0.032114064410099695, 0.0341565187720665, 0.032699224267451255, 0.03384813319655888, 0.037163512420178395, 0.043788140425979005, 0.053453859510389265, 0.05603149967365837, 0.05694777223304156, 0.06191001926648086, 0.06599148337460084, 0.0689287211003795, 0.0724310762601297, 0.07481394978362832, 0.07808077353309346, 0.08057490667582318, 0.0837849226615914, 0.08538427936970061, 0.08773547487953119, 0.09064120402833369, 0.09357028289070073, 0.09768532136599738, 0.10100383966674246, 0.10133443648820722, 0.10290552432928524, 0.10402343505372784, 0.1062981199670346, 0.10756845253947754, 0.10865774239420761, 0.11006974498997363, 0.10945587226159768, 0.11087678262120203, 0.1112789862890553, 0.11243407618677763, 0.11322731686227398, 0.1130156078263371, 0.11489606646989003, 0.1157661092265689, 0.11742659780795796, 0.1186944842964723, 0.12162137696335025, 0.11955153991760945, 0.11920690841532151, 0.12051672570530461, 0.12048388567742767, 0.1202365038094467], ""valid_recall20"": [0.08037785880013258, 0.08236658932714618, 0.08186940669539278, 0.08733841564468015, 0.09264169705004972, 0.11070599933708983, 0.1305933046072257, 0.13954259197878688, 0.14633742127941665, 0.15793834935366258, 0.16639045409347034, 0.1735167384819357, 0.17716274444812727, 0.18279748094133244, 0.1917467683128936, 0.19622141199867418, 0.20715942989724892, 0.20931388796818032, 0.21445144182963208, 0.22207490884985084, 0.22505800464037123, 0.23467020218760357, 0.24146503148823334, 0.24096784885647995, 0.24378521710308254, 0.2459396751740139, 0.2497514086841233, 0.25638051044083526, 0.25836924096784886, 0.25853496851176666, 0.26052369903878025, 0.26002651640702684, 0.2638382499171362, 0.26483261518064305, 0.2659927079880676, 0.2659927079880676, 0.2659927079880676, 0.2674842558833278, 0.2732847199204508, 0.2757706330792178, 0.28057673185283394, 0.27726218097447797, 0.27891945641365595, 0.2799138216771627, 0.28090818694066955, 0.27858800132582034]}",353.35661268234253
