dataset,batch_size,lr,maxlen,hidden_units,num_blocks,num_heads,dropout_rate,l2_emb,num_epochs,device,norm_first,patience,n_workers,seed,save_path,best_epoch,best_valid_ndcg10,valid_ndcg10,valid_recall10,valid_ndcg20,valid_recall20,test_ndcg10,test_recall10,test_ndcg20,test_recall20,usernum,itemnum,history,runtime_sec
ratings.dat,128,0.001,100,32,2,1,0.2,0.0,50,cuda,False,5,1,42,results/ablation_hidden_units_32_seed42_best.pth,49,0.5465956735102764,0.546133368606518,0.8120649651972158,0.5712427598304671,0.9105071262843885,0.5270508165774381,0.7807424593967517,0.554441625327808,0.8884653629433212,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""train_loss"": [1.216194528214475, 0.9616617890114479, 0.9091188451077076, 0.8936186077746939, 0.8788535721758579, 0.8619237136333546, 0.8331987984636997, 0.8010283391526405, 0.7772756637410915, 0.7561128659451262, 0.7345042241380569, 0.7133681609275493, 0.6940748387194694, 0.6785217079710453, 0.6627477813274303, 0.6543587877395305, 0.6399414374473247, 0.6300012532700884, 0.622364157057823, 0.6115399421529567, 0.6044240073954805, 0.596790280747921, 0.5893414870221564, 0.5817371911190926, 0.5756044032725882, 0.5688246108115987, 0.5657819091005528, 0.5601017449764495, 0.5545367712670184, 0.5506770547400129, 0.5477930332751985, 0.5445310371987363, 0.5389820667023354, 0.5360971556064931, 0.5340428250901242, 0.5284715408974505, 0.5267311036586761, 0.5247548304973765, 0.5224622944568066, 0.5175815351465916, 0.5165753066539764, 0.5162202709532798, 0.5134462492263063, 0.5072160629515953, 0.5088168966009262, 0.5032622173745581, 0.5031544413972409, 0.5012350355057006, 0.5005215469827043, 0.4976010614253105], ""valid_ndcg10"": [0.25526175070641816, 0.27059388571330045, 0.27248589727095646, 0.2745140621275629, 0.2842702752371657, 0.30529931847074476, 0.32762094200842695, 0.3425772044502933, 0.35594871744693574, 0.3709426255259583, 0.39321910376034597, 0.4089076671412308, 0.4218998294058184, 0.4316141722684907, 0.441209466435989, 0.4501216710821001, 0.4551558000789211, 0.46489524752149597, 0.466777863703279, 0.471659052613109, 0.47814669730153836, 0.4814732534781744, 0.488214444345341, 0.49173450074385494, 0.4953688838452987, 0.5036028668239907, 0.4993977506401387, 0.506183111623998, 0.5106448631572383, 0.5119415914960487, 0.5154841920279392, 0.5174050364463619, 0.5236755273822653, 0.5231391162933648, 0.5253505394862366, 0.5333647872623111, 0.528552665522163, 0.5310459305850912, 0.5347394108806904, 0.5326513288785143, 0.5352967470085812, 0.5364660393013718, 0.5406287105136428, 0.5368832794981858, 0.54387379470872, 0.5437668742952384, 0.5428064065853281, 0.5456332171589524, 0.5465956735102764, 0.546133368606518], ""valid_recall10"": [0.4834272456082201, 0.48922770964534307, 0.49337089824328806, 0.49469671859463044, 0.5104408352668214, 0.5440835266821346, 0.5787205833609546, 0.6000994365263507, 0.6112031819688433, 0.6353994033808419, 0.6582698044414982, 0.6791514749751408, 0.6952270467351673, 0.7066622472654955, 0.7121312562147829, 0.7240636393768645, 0.7278753728869738, 0.7411335764003978, 0.7444481272787538, 0.7494199535962877, 0.7547232350016573, 0.7596950613191913, 0.7625124295657938, 0.7674842558833278, 0.771461716937355, 0.7770964534305601, 0.7769307258866424, 0.7802452767649983, 0.782234007292012, 0.7843884653629433, 0.7886973815048061, 0.7865429234338747, 0.7963208485250248, 0.7946635730858469, 0.8006297646668876, 0.806098773616175, 0.7984753065959562, 0.8051044083526682, 0.8039443155452436, 0.8017898574743122, 0.8070931388796818, 0.8075903215114352, 0.8127278753728869, 0.8080875041431886, 0.8112363274776268, 0.811899237653298, 0.8099105071262844, 0.814385150812065, 0.8115677825654624, 0.8120649651972158], ""valid_ndcg20"": [0.3040508894456201, 0.3196584897971825, 0.32050845663583166, 0.32276932796426433, 0.33260124726836826, 0.35278533945692175, 0.3740664983348237, 0.3862745913712915, 0.401269002221349, 0.4134356195753267, 0.43482912869913537, 0.448116779084994, 0.45881208000909013, 0.4680220280680319, 0.478657895135652, 0.4857425689713471, 0.49030574015790035, 0.49850993720939374, 0.49968083706974525, 0.5046558787429871, 0.5113099739850582, 0.51340931891665, 0.5195296932054039, 0.5225560193126148, 0.5257899900570078, 0.5335400168197594, 0.5299159360033392, 0.5362649858032991, 0.5402403626424961, 0.541475771189581, 0.5444305257582411, 0.546944903311299, 0.5514373609693077, 0.5510769839254425, 0.5518933529363851, 0.5593289398558673, 0.5560875207216098, 0.5571705450575729, 0.5616257837318017, 0.5598477708465458, 0.5613037428817523, 0.562807606533078, 0.564937940433975, 0.5638550912187188, 0.5697690580447032, 0.5693894175439, 0.5687321500727643, 0.5704051018350914, 0.5719478895556857, 0.5712427598304671], ""valid_recall20"": [0.6766655618163738, 0.6839575737487571, 0.6834603911170036, 0.6862777593636062, 0.7023533311236327, 0.7320185614849188, 0.7621809744779582, 0.7724560822008618, 0.7896917467683129, 0.8034471329134902, 0.8223400729201193, 0.8336095459065297, 0.8404043752071594, 0.8496851176665562, 0.8589658601259529, 0.8641034139874048, 0.8657606894265827, 0.8737156115346371, 0.8740470666224727, 0.8793503480278422, 0.885316539608883, 0.8849850845210474, 0.8856479946967186, 0.8884653629433212, 0.8906198210142525, 0.8949287371561153, 0.896917467683129, 0.8987404706662248, 0.8985747431223069, 0.9005634736493205, 0.9020550215445807, 0.9025522041763341, 0.9055352999668544, 0.9045409347033477, 0.9048723897911833, 0.9081869406695393, 0.9060324825986079, 0.9080212131256215, 0.9093470334769639, 0.9086841233012927, 0.9090155783891283, 0.9106728538283063, 0.9085183957573749, 0.9136559496188267, 0.9124958568114021, 0.9129930394431555, 0.9118329466357309, 0.9113357640039774, 0.9110043089161418, 0.9105071262843885]}",249.70860362052917
ratings.dat,128,0.001,100,32,2,1,0.2,0.0,50,cuda,False,5,1,43,results/ablation_hidden_units_32_seed43_best.pth,47,0.543396410911074,0.5423608210659837,0.8064302287040106,0.5689025212222575,0.9106728538283063,0.5187229796574216,0.7711302618495194,0.5473201155313152,0.883659264169705,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""train_loss"": [1.2197033217612734, 0.9607640352654965, 0.909759040842665, 0.8925112295658031, 0.8777764984901916, 0.8601623646756436, 0.8336168946103847, 0.8045955300331116, 0.7795642753864857, 0.755919653050443, 0.7322190708302437, 0.7134565736385102, 0.6958935349545581, 0.6826149009643717, 0.6679052330077963, 0.6571240501200899, 0.6448618097508207, 0.632896659222055, 0.6238353062183299, 0.6171090691647632, 0.6088092314436081, 0.6019768626131909, 0.5957338924103595, 0.5886616529302394, 0.5822469883776725, 0.5755629032216174, 0.5700893845963986, 0.5656927418201527, 0.5611226584048982, 0.553743673131821, 0.5506181196963533, 0.5466706968368368, 0.5407551387523083, 0.5394263749426984, 0.5344207939949441, 0.5330661053353167, 0.529466857301428, 0.525735191842343, 0.521801694276485, 0.5197043888112332, 0.5179150478636965, 0.5173477822161735, 0.5147877671617143, 0.5120273803142791, 0.5096641220944993, 0.5070064854114613, 0.5049984550222437, 0.5020198359134349, 0.5005682839992198, 0.49804767078541695], ""valid_ndcg10"": [0.2672091115548299, 0.2741921047895393, 0.27516990062085844, 0.27262393308431604, 0.2889640189453866, 0.3029804789868452, 0.3220051078210113, 0.335468706892499, 0.3494486970957683, 0.37112573059676635, 0.3854014115806512, 0.4000285656903678, 0.4142694643405255, 0.42154200223194327, 0.4326311545089652, 0.4420717588736921, 0.4517423384344337, 0.4525947126618585, 0.45614052276088, 0.4654831707285442, 0.4738239253656328, 0.4751229712569071, 0.4817425799397336, 0.48247162422769113, 0.48634033668860194, 0.48999881845220145, 0.49585495757042103, 0.5036907384774849, 0.5038094084359178, 0.5133169836209658, 0.5130197315604825, 0.5126630419102904, 0.5182975326394648, 0.5204809079381115, 0.5227196175698537, 0.5237079538663764, 0.5280624229629668, 0.5239134314645583, 0.5265786262360729, 0.5339643432997693, 0.5300298650643759, 0.5344782661675742, 0.5356463968447837, 0.5374907185659951, 0.5382842200876042, 0.5421918351172086, 0.543396410911074, 0.5418742610339071, 0.5417546415158835, 0.5423608210659837], ""valid_recall10"": [0.49320517069937025, 0.4918793503480278, 0.49022207490884984, 0.4875704342061651, 0.5222074908849851, 0.5450778919456414, 0.5778919456413656, 0.5939675174013921, 0.6054027179317203, 0.6362280411004309, 0.6504806098773617, 0.6736824660258535, 0.6879350348027842, 0.697215777262181, 0.7071594298972489, 0.7185946304275771, 0.7270467351673848, 0.730195558501823, 0.7353331123632748, 0.7406363937686443, 0.7452767649983427, 0.7510772290354657, 0.7596950613191913, 0.7603579714948624, 0.7643354325488896, 0.7707988067616838, 0.7716274444812727, 0.7809081869406695, 0.7782565462379848, 0.7848856479946967, 0.7860457408021213, 0.7901889294000662, 0.7911832946635731, 0.7903546569439841, 0.7923433874709976, 0.7968180311567783, 0.7983095790520385, 0.796983758700696, 0.7951607557176003, 0.8001325820351343, 0.8029499502817369, 0.800298309579052, 0.8049386808087504, 0.8049386808087504, 0.806098773616175, 0.8089161418627776, 0.8109048723897911, 0.8090818694066954, 0.8099105071262844, 0.8064302287040106], ""valid_ndcg20"": [0.3147082089164109, 0.32285117119068174, 0.32375962241142736, 0.3247900797654927, 0.33692377385336253, 0.35240890861125107, 0.36937963423748, 0.38284788564144967, 0.396577863673423, 0.41407131029113875, 0.42813039039547424, 0.4395687104288841, 0.4536568115362146, 0.45976790815755886, 0.4698337404813439, 0.4781095625349945, 0.48730256229473895, 0.4879806342929133, 0.49075981970262694, 0.49996248070135424, 0.5073032772086806, 0.5083753447894126, 0.5133154535532752, 0.5153208924358136, 0.5176580509557848, 0.5198657993036333, 0.5256145376996548, 0.5322046007239992, 0.532973087855547, 0.5413493948370028, 0.5407250769165766, 0.5398938893310873, 0.5466124044416352, 0.5484891848488705, 0.5504228803886467, 0.5516377644766665, 0.555124606645146, 0.5511381321175357, 0.553652600371551, 0.5611372058063104, 0.5567502864954816, 0.5619036791874712, 0.5616105182219576, 0.5639980551754961, 0.5648420941426202, 0.5672942881364378, 0.5685684379008846, 0.567733100018433, 0.5682623160078405, 0.5689025212222575], ""valid_recall20"": [0.6823002983095791, 0.6849519390122638, 0.6829632084852503, 0.6940669539277428, 0.711965528670865, 0.7398077560490554, 0.7645011600928074, 0.7807424593967517, 0.7905203844879019, 0.8059330460722572, 0.8190255220417634, 0.829134902220749, 0.843221743453762, 0.8475306595956248, 0.8536625787205834, 0.8604574080212132, 0.8672522373218429, 0.8692409678488565, 0.8713954259197879, 0.8762015246934041, 0.877030162412993, 0.8818362611866092, 0.8838249917136228, 0.889459728206828, 0.8871395425919788, 0.8882996353994034, 0.888631090487239, 0.8931057341730195, 0.8926085515412662, 0.8949287371561153, 0.8945972820682797, 0.8972489227709646, 0.9023864766324163, 0.9003977461054027, 0.9012263838249918, 0.9068611203181969, 0.9045409347033477, 0.9037122969837587, 0.9018892940006629, 0.9066953927742791, 0.9080212131256215, 0.9078554855817037, 0.9068611203181969, 0.9088498508452105, 0.9101756711965528, 0.9075240304938681, 0.9098442161087172, 0.9106728538283063, 0.9143188597944979, 0.9106728538283063]}",250.36323046684265
ratings.dat,128,0.001,100,32,2,1,0.2,0.0,50,cuda,False,5,1,44,results/ablation_hidden_units_32_seed44_best.pth,50,0.5466440049814808,0.5466440049814808,0.8104076897580378,0.5720621021649094,0.9100099436526351,0.5246248570271619,0.7820682797480941,0.5520642830285911,0.8899569108385814,6034,3533,"{""epoch"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], ""train_loss"": [1.2158343563688563, 0.9628513062253912, 0.9108884448700763, 0.89349864264752, 0.8771508386794556, 0.8508615772774879, 0.8169748707020537, 0.7898446334169266, 0.7665293584478662, 0.743821936718961, 0.7210340588650805, 0.7024033995384865, 0.686050941335394, 0.6708703573713911, 0.6591331540270055, 0.6497871165579938, 0.6361415690564095, 0.6262601334997948, 0.6175354249933933, 0.6078903446806238, 0.6021808880440732, 0.5958409918115494, 0.5885552370801885, 0.5814426249646126, 0.5770143498765662, 0.5715980364921245, 0.5689321807090272, 0.5658015684878572, 0.5585448982867789, 0.5557191346554046, 0.5502994174652911, 0.5453765734713129, 0.5438782268382133, 0.539576363056264, 0.5359767332990119, 0.5336248671754877, 0.5288384112905948, 0.5257038157036964, 0.5244845164583084, 0.5200996544766934, 0.5186193953169153, 0.5156862964021399, 0.5124158764139135, 0.5111158058998433, 0.5102338524574929, 0.5074002349630315, 0.5033549951746109, 0.5008888460220174, 0.49998260305282916, 0.496371494328722], ""valid_ndcg10"": [0.26539745298778933, 0.27537294369444787, 0.2713924031613971, 0.27994477602537543, 0.2931631716296719, 0.31626063636816504, 0.33012787333143445, 0.3410562725378192, 0.3567232372100116, 0.3753419102586354, 0.3923908858705412, 0.4057173155181426, 0.4147310558151661, 0.43342621049382646, 0.4356372515982795, 0.44486927773747637, 0.4551092931668584, 0.4611619750804775, 0.4690257706276719, 0.47643889465568623, 0.47484862981717174, 0.4810437174878231, 0.4845816974092683, 0.4850413493827219, 0.48891203370327746, 0.4963454509035727, 0.49672787024109183, 0.49667164678791725, 0.5052686643077888, 0.5046003368440035, 0.5096397433171657, 0.5137620737104807, 0.5132425849153843, 0.5181030119026874, 0.5189810736863528, 0.5231417804839156, 0.5237109183983926, 0.5250052218086204, 0.5310027298472149, 0.5302414194378632, 0.531449718350245, 0.5347045306434248, 0.5374103095263403, 0.5390698537329423, 0.5398450017039808, 0.5385776530285104, 0.5407091634957522, 0.5438338430775045, 0.5402751956391845, 0.5466440049814808], ""valid_recall10"": [0.48607888631090485, 0.48922770964534307, 0.49138216771627446, 0.4981769970169042, 0.5240304938680809, 0.5667882001988731, 0.5841895923102419, 0.5986078886310905, 0.622969837587007, 0.6436857805767319, 0.6627444481272787, 0.6827974809413324, 0.6917467683128936, 0.7081537951607557, 0.7152800795492211, 0.7207490884985085, 0.731024196221412, 0.7328471992045078, 0.7417964865760689, 0.7570434206165064, 0.7502485913158767, 0.7563805104408353, 0.7630096121975473, 0.7649983427245608, 0.7666556181637388, 0.768147166058999, 0.7716274444812727, 0.7737819025522041, 0.7757706330792178, 0.7843884653629433, 0.7828969174676831, 0.7867086509777925, 0.7875372886973815, 0.7926748425588332, 0.7905203844879019, 0.7898574743122307, 0.7915147497514087, 0.796983758700696, 0.8014584023864766, 0.7998011269472987, 0.8024527676499834, 0.801126947298641, 0.8057673185283394, 0.8082532316871064, 0.8099105071262844, 0.8120649651972158, 0.8072588664235996, 0.8140536957242294, 0.8100762346702022, 0.8104076897580378], ""valid_ndcg20"": [0.3140023804155648, 0.32427151724672004, 0.3201852333890465, 0.3280582935457169, 0.34296942643887146, 0.3633262922729017, 0.377839537207152, 0.38800953988788595, 0.40087564095625594, 0.41834964724344315, 0.4339269893280944, 0.4449659063072245, 0.45406763136067024, 0.4702603391816106, 0.4717859983990554, 0.4813156464443785, 0.49020859016264273, 0.4974130406136709, 0.5031189609759986, 0.5075047661800228, 0.5075337417559909, 0.5128027507769081, 0.5154413475183762, 0.5167297096440976, 0.5201530895617569, 0.5276122398907053, 0.5265999807100464, 0.5270575673813032, 0.5346700864612727, 0.5325390689614988, 0.5387457029702616, 0.5411792977044149, 0.5411762785797876, 0.5455703349963316, 0.546296994348372, 0.5512532258920221, 0.5516509078554279, 0.5518421670828825, 0.5564775812123226, 0.5571425884767219, 0.5576403318196629, 0.5611960731951535, 0.5628092342607408, 0.5642666697596708, 0.5642660295311279, 0.5634113727108853, 0.5672498954304631, 0.5683367115958062, 0.5658870393364823, 0.5720621021649094], ""valid_recall20"": [0.6794829300629764, 0.6836261186609215, 0.6854491216440173, 0.6882664898906198, 0.7214119986741796, 0.7529002320185615, 0.7726218097447796, 0.7837255551872722, 0.7971494862446139, 0.813556513092476, 0.8264832615180643, 0.8372555518727213, 0.8468677494199536, 0.8529996685449122, 0.8576400397746106, 0.8637719588995691, 0.8690752403049387, 0.8753728869738151, 0.8755386145177328, 0.8796818031156778, 0.8786874378521711, 0.8805104408352669, 0.8838249917136228, 0.8891282731189923, 0.8891282731189923, 0.8904540934703348, 0.8889625455750746, 0.8932714617169374, 0.8912827311899237, 0.8939343718926086, 0.8972489227709646, 0.8942658269804441, 0.896917467683129, 0.9003977461054027, 0.8979118329466357, 0.8995691083858137, 0.9013921113689095, 0.9023864766324163, 0.9013921113689095, 0.9053695724229367, 0.905203844879019, 0.9047066622472655, 0.9057010275107723, 0.9071925754060325, 0.9060324825986079, 0.9100099436526351, 0.9113357640039774, 0.9098442161087172, 0.9106728538283063, 0.9100099436526351]}",250.26152062416077
